,Address,Area,Beds,Full Baths,Half Baths,Lot Size,Price,locality
0,0 Gateway,,,,,,"$725,000","Rock Springs, WY 82901"
1,1003 Winchester Blvd.,,4,4,,0.21 Acres,"$452,900","Rock Springs, WY 82901"
2,600 Talladega,,5,3,,,"$396,900","Rock Springs, WY 82901"
3,3239 Spearhead Way,,4,3,1,"Under 1/2 Acre, ","$389,900","Rock Springs, WY 82901"
4,522 Emerald Street,,3,3,,"Under 1/2 Acre, ","$254,000","Rock Springs, WY 82901"
5,1302 Veteran's Drive,,4,2,,0.27 Acres,"$252,900","Rock Springs, WY 82901"
6,1021 Cypress Cir,,4,3,,"Under 1/2 Acre, ","$210,000","Rock Springs, WY 82901"
7,913 Madison Dr,,3,2,,"Under 1/2 Acre, ","$209,000","Rock Springs, WY 82901"
8,1344 Teton Street,,3,2,,"Under 1/2 Acre, ","$199,900","Rock Springs, WY 82901"
9,4 Minnies Lane,,3,2,,2.02 Acres,"$196,900","Rock Springs, WY 82901"
10,9339 Sd 26900,,,,,,"$1,700,000","Rocksprings, TX 78880"
11,RR674P13 Hwy 377,,,,,,"$1,100,000","Rocksprings, TX 78880"
12,0 Hwy 41,,,,,,"$1,080,000","Rocksprings, TX 78880"
13,9339 Sd 26900,,,,,,"$908,350","Rocksprings, TX 78880"
14,CR450 Hwy 377,,,,,,"$905,000","Rocksprings, TX 78880"
15,Cr 240 Cr 240,,,,,,"$695,000","Rocksprings, TX 78880"
16,RR674 Hwy 377,,,,,,"$605,000","Rocksprings, TX 78880"
17,9770a Sd 26900,,,,,,"$559,805","Rocksprings, TX 78880"
18,Lot17 CR 2630,,,,,,"$504,000","Rocksprings, TX 78880"
19,"Tr12,16 CR 520",,,,,,"$410,000","Rocksprings, TX 78880"
20,32575 S Shadow Mountain Road,,3,2,,,"$299,900","Black Canyon City, AZ 85324"
21,32750 S Shangrila Drive,,3,2,,,"$167,500","Black Canyon City, AZ 85324"
22,0000 Black Canyon Highway,,,,,5 Acres,"$150,000","Black Canyon City, AZ 85324"
23,34775 S CHOLLA Drive,,3,2,,,"$129,500","Black Canyon City, AZ 85324"
24,33403 S. HA-WA-SI TERRACE,,4,2,,,"$129,000","BLACK CANYON CITY, AZ 85324"
25,34263 S Bertha Street,,5,2,,,"$80,000","Black Canyon City, AZ 85324"
26,33160 S Canyon Road,,3,2,,,"$77,900","Black Canyon City, AZ 85324"
27,19421 E Todd Evans Road,,3,2,,,"$70,500","Black Canyon City, AZ 85324"
28,18688 E AGUA Vista,,,,,0.7 Acres,"$70,000","Black Canyon City, AZ 85324"
29,50600 N Old Black Canyon Road,,,,,3 Acres,"$67,500","Black Canyon City, AZ 85324"
30,20101 E SQUAW VALLEY Road,,,,,,"$54,900","Black Canyon City, AZ 85324"
31,33259 S Canyon Road,,3,1,,,"$45,600","Black Canyon City, AZ 85324"
32,34558 S ROADRUNNER RD,,2,1,,Under 1/2 Acre,"$40,000","Black Canyon City, AZ 85324"
33,19260 E Scenic Loop Road,,,,,2.35 Acres,"$30,000","Black Canyon City, AZ 85324"
34,19000 E MAREN Avenue,,,,,2.05 Acres,"$29,000","Black Canyon City, AZ 85324"
35,19350 E SAGUARO Drive,,,,,0.73 Acres,"$28,995","Black Canyon City, AZ 85324"
36,20650 E Amethyst Place,,,,,0.31 Acres,"$15,000","Black Canyon City, AZ 85324"
